TripId	Empcode	NodalName
203785	M0643550	Mogappair JJ Nagar Bus Stop
203887	N0452321	Ayyapakkam TNHB Colony
203769	M0745753	Choolaimedu Mehta Nagar Bus Stop
203795	M1150058	Tambaram Camp Road
203817	N0452496	Porur Mugalivakkam
203803	M1250506	Chrompet Bus Stop
203881	L0730441	Ambattur Ponnu Super Market
203773	L1235937	Saidapet Jones Road
203878	M0643745	Avadi Mitnamalli Bus Stop
203876	N0552586	Thirumullaivoyal Steford Bus Stop
203761	N0452475	Alandur Hotel Mount Heera
203884	L0630256	Ayapakkam Baba Kovil
203879	M0847493	Ramapuram DLF
203863	M0339577	Thirunindravur Railway Station
203849	L0630383	Tondiarpet Apollo Hospital
203786	M1150338	Maduravoyal MGR University
203890	K0224106	Nanganallur Bus Stop
203894	M0643584	Ambattur Oragadam
203815	M0948729	Adyar Telephone Exchange Bus Stop
203871	N0351663	Avadi TNHB Colony
203870	F024693	Pattabiram Bus Stop
203763	M0441118	Triplicane Rathna Cafe
203761	N0351341	St Thomas Mount Bus Stop
203838	N0251041	Kodungaiyur Gandhi Statue
203887	N0251125	Ayyapakkam TNHB Colony
203874	M0543303	Avadi Paruthipattu
203764	M0745908	Thousand Light Greams Road
203868	K0825416	Pallikaranai Oil Mill Bus Stop
203947	M0948797	Ayapakkam TNHB Colony
203794	N0653196	Thoraipakkam Signal
203857	M1150067	Porur Toll Gate
203854	L0428696	Villivakkam Bus Stand
203775	M1150374	Kodambakkam Power House
203893	M0340313	Kallikuppam Arch Bus Stop
203750	J0521471	Adambakkam NGO Colony bus Stop
203801	M0948119	Hasthinapuram Bus Stop
203802	J1022558	Chrompet Bus Stop
203790	L0126737	Urapakkam Bus Stop
203767	N0653346	T Nagar Bus Stop
203795	N0552763	Tambaram Camp Road
203892	L0429241	Surapet Shanmugapuram
203770	M0745012	MMDA Colony
203752	M1049281	Iyyapanthangal Bus Stop
203750	M0948846	Adambakkam NGO Colony bus Stop
203757	N0452132	Thirumangalam Bus Stop
203776	N0552650	Ekkatuthangal Bus Stop
203899	E012056	Mangadu Bus Stop
203886	N0251121	Ayyapakkam Athipet
203878	L1134465	Avadi Muthapudupet Bus Stop
203810	M0948255	Guindy Butt Road
203755	L0126731	Porur Bai kadai
203782	M0745696	Virugambakkam Bus Stop
203806	M0846809	Pallavaram Olympia Building
203759	N0552571	Mylapore City Centre
203865	M1149853	Avadi Bus Stop
203797	I0516773	Tambaram East Bus Stop
203767	M0136432	T Nagar Bus Stop
203888	M0948973	Redhills Koot Road
203857	M0745021	Keelkattalai Eb Office
203806	M1049165	Pallavaram Bus Stop
203894	M0137095	Ambattur Oragadam
203847	N0451984	Tondiarpet Manikoondu
203898	M0542427	Poonamallee Kallarai Bus Stop
203900	M0441412	Kundrathur Bus Stop
203856	N0653147	Central Ribbon Building
203846	M0745019	Kovilambakkam Bus Stop
203852	M0644803	Royapuram Kasimedu Signal
203868	J0320609	Pallikaranai Oil Mill Bus Stop
203809	M0137157	Taramani Railway Station
203755	N0351270	Kovur Bus Stop
203797	M0948736	Tambaram East Bus Stop
203799	N0251080	Tambaram West Bus Stop
203856	M0746127	Kilpauk Garden
203771	M1049589	Mogappair Collector Nagar Bus stop
203805	M0948647	Perungudi Bus Stop
203772	M0643672	Porur Signal
203801	M0846384	Hasthinapuram Bus Stop
203787	N0452198	Madhuravoyal Erikkari Bus Stop
203882	M0847651	Thirumullaivoyal Manikandapuram bus stop
203762	N0452023	Anna Nagar Shanthi Colony
203795	K0224112	Tambaram Camp Road
203755	L0831913	Kovur Bus Stop
203795	M1049396	Tambaram Camp Road
203787	N0552876	Maduravoyal MGR University
203755	M0847205	Kovur Bus Stop
203862	M0137733	Pattabiram Grace Hospital
203887	M0745356	Ayyapakkam TNHB Colony
203767	N0250948	T Nagar Bus Stop
203752	N0251109	Poonamallee Kattupakkam Bus Stop
203801	N0452317	Chrompet Bus Stop
203872	N0452009	Avadi Checkpost
203878	M0948820	Ambattur Canara Bank
203869	E042527	Pattabiram Railway Gate
203840	N0552589	Vyasarpadi Mullai Nagar Bus Stop
203752	N0552949	Iyyapanthangal Bus Stop
203873	L1134392	Avadi kamaraj Nagar Bus Stop
203881	M0948954	Ambattur Ponnu Super Market
203757	H0714452	RA Puram
203790	M1049264	Urapakkam Bus Stop
203859	N0452364	Purasaivakkam Thana Street
203895	M0136534	Pudur Malliga Mahal
203799	M1150139	Tambaram West Bus Stop
203815	N0452419	Saidapet Court
203802	N0452192	Chrompet Bus Stop
203861	M0948407	Thirunindravur Bus Stop
203869	D071254	Thirunindravur Bus Stop
203898	M1049679	Poonamalee Bus Stop
203753	M0948927	Thiruverkadu Bus Depot
203760	L0328299	Anna Nagar West Bus Stop
203889	M0744952	Redhills Bus Stop
203828	L1134753	Kolathur Teachers Colony
203836	M0745302	Madhavaram Bus Stop
203756	N0452499	Mugallivakam Bus Stop
203855	M0846956	Broadway Excellent Hotel
203811	M1149781	Velacheriy Check Post
203837	M1150345	Kodungaiyur Bus Stop
203827	L0730531	Kolathur Vinayagapuram
203778	M0541998	Thirumangalam Bus Stop
203831	M1049043	Manali Bus Stop
203848	M0238565	Korukkupet Police Station
203874	J0521172	Avadi Paruthipattu
203827	M0340607	Kolathur Vinayagapuram
203822	M1150231	Perambur Ponniammanmedu
203826	M0948672	Perambur Ponniammanmedu
203775	N0452359	Kodambakkam Sekar Emporium
203862	M0948740	Pattabiram Bus Stop
203819	M1150369	Perambur Market
203835	M0643581	Madipakkam Ram Nagar
203834	M1049267	Madhavaram Thapalpetti
203897	M0137658	Ambattur Estate MTC Bus Depot
203898	M0644010	Poonamalee Bus Stop
203815	M0846948	Adyar Madhya kailash Bus Stop
203819	M0745352	Thiru.Vi.Ka. Nagar Police Station
203826	M0542828	Kolathur Retteri Signal
203857	E103627	Kilkattalai Bus Depot
203835	N0552772	Madipakkam Bus Stop
203863	M1049269	Thirunindravur Railway Station
203843	M0948912	Thiruvottiyur Ajex Bus Stop
203823	M0644806	Thiru.Vi.Ka. Nagar Police Station
203825	L0529429	Kolathur Poombugar nagar bus stop
203820	M1150346	Perambur Bus Stop
203900	M0239183	Kundrathur Bus Stop
203865	N0451979	Thirunindravur Railway Station
203838	M0441161	KKD Nagar Thiruthangal Nadar College
203810	N0452327	Velachery HP Petrol Bunk
203876	M0137015	Avadi Kovilpadhagai bus stop
203792	M0948219	Perungalathur Bus Stop
203779	M1049187	Virugambakkam HP Petrol Bunk
203855	M0137413	Broadway Excellent Hotel
203832	M0137017	Mathur Bus Stop
203762	N0552766	Anna Nagar Shanthi Colony
203776	M1149797	Ekkatuthangal Bus Stop
203774	M1149772	Vadapalani Bus Stop
203900	M0441101	Kundrathur Police Station
203822	L0831785	Kolathur Kumaran Nagar Bus Stop
203861	M0136520	Thirunindravur Railway Station
203829	M0948806	Kolathur GKM Colony
203836	M0847445	Moolakadai Police Station
203900	M0847905	Kundrathur Periyar Nagar
203889	M0339454	Redhills Bus Stop
203767	N0250903	Mogappair Collector Nagar Bus stop
203858	M0339912	Perambur Barracks Road
203889	M0339787	Redhills Bus Stop
203817	E042572	Porur Mugalivakkam
203835	M0339941	Madipakkam Ram Nagar
203896	M0543328	Menambedu Bus Stop
203873	E012064	Avadi kamaraj Nagar Bus Stop
203831	L1235990	Manali Bus Stop
203854	K0825253	Villivakkam ICF Bus Stop
203844	M0542313	Thiruvottriyur Raja Kadai Bus stop
203846	M0543182	Kovilambakkam Bus Stop
203816	N0452333	Mogappair 7H Bus Stop
203822	M0542396	Kolathur Kumaran Nagar Bus Stop
203892	M0137498	Surapet Shanmugapuram
203801	M0137205	Tambaram Sanitorium Bus Stop
203801	N0351511	Chrompet Bus Stop
203751	M0136681	Paraniputhur Bus Stop
203783	N0452340	Thoraipakkam PTC Quarters Bus Stop
203848	L0932843	Vyasarpadi Sharma Nagar
203890	N0452130	Nanganallur Bus Stop
203792	N0552845	Vandaloor Bus Stop
203801	M0441225	Hasthinapuram Bus Stop
203784	M0136416	Mogappair 7H Bus Stop
203862	M0440961	Pattabiram Police station
203783	L0630148	Thoraipakkam PTC Quarters Bus Stop
203795	N0251074	Tambaram Camp Road
203945	M0238191	Adambakkam NGO Colony bus Stop
203765	L0227343	Chintadripet Bus Stop
203769	M0949010	Choolaimedu Bata Show Room
203837	M0745387	Kodungaiyur Muthamizh Nagar Church
203830	N0552581	Villivakkam Subway
203868	M1049265	Pallikaranai Oil Mill Bus Stop
203833	K1126033	Madhavaram MMC Bus Stop
203867	N0251140	Thiruninravur Jaya School Bus Stop
203829	M0846836	Kolathur GKM Colony
203833	M0644001	Madhavaram MMC Bus Stop
203824	L1033672	Pallikaranai Bus Stop
203758	H0413146	Nandanam Bus Stop
203812	M0847007	Velacherry Baby Nagar Bus Stop
203841	M0543252	Vyasarpadi Bus Stop
203836	M0745563	Manali Bus Stop
203854	M0339792	Villivakkam Bus Stand
203836	M0643638	Manali Bus Stop
203833	N0553024	Madhavaram MMC Bus Stop
203888	M0542720	Redhills Koot Road
203825	N0351630	Kolathur Periyar Nagar EB
203753	N0150806	Thiruverkadu Bus Depot
203869	D091505	Pattabiram Bus Stop
203763	M0441456	Triplicane Post Office
203825	M0644289	Kolathur Poombugar nagar bus stop
203749	L0126931	Medavakkam Bus Stop
203795	I0617124	Tambaram Camp Road
203806	M0238685	Pallavaram Bus Stop
203782	M1149848	Virugambakkam Bus Stop
203784	M0643790	Mogappair 7H Bus Stop
203821	N0452508	Perambur Agaram Bus Stop
203802	M0643579	Chrompet Bus Stop
203860	M0441522	Kilpauk New Avadi Road
203786	L0126776	Maduravoyal EB office
